transaction_id,date,product_name,quantity,amount,discount,cashier
1,2/19/2025,Sobe - Tropical Energy,41,$72.23,$20.83,Sona
2,2/26/2025,Mace Ground,87,$136.33,$15.40,bet
3,2/20/2025,Sprouts - Brussel,16,$128.50,$15.93,Sona
4,2/17/2025,Pepper - Yellow Bell,82,$124.21,$26.29,bet
5,2/22/2025,Table Cloth - 53x69 Colour,47,$222.45,$19.31,arnold
6,2/10/2025,Appetizer - Southwestern,55,$62.90,$19.89,bet
7,2/23/2025,Cake - Mini Cheesecake,81,$153.58,$38.02,bet
8,2/24/2025,Halibut - Fletches,53,$99.93,$18.27,bet
9,2/26/2025,"Split Peas - Green, Dry",30,$230.45,$32.47,bet
10,2/20/2025,Glass - Juice Clear 5oz 55005,3,$91.56,$21.40,arnold
11,2/23/2025,Gatorade - Lemon Lime,5,$247.31,$11.91,arnold
12,2/15/2025,Clementine,38,$142.62,$43.97,bet
13,2/20/2025,Sponge Cake Mix - Chocolate,64,$246.28,$13.01,bet
14,2/25/2025,Baking Soda,92,$174.98,$8.22,arnold
15,2/7/2025,Pork - Suckling Pig,70,$169.70,$9.50,bet
16,2/8/2025,Tomatoes - Grape,52,$145.46,$44.47,arnold
17,2/12/2025,Pop Shoppe Cream Soda,2,$91.98,$10.08,arnold
18,2/13/2025,Salt - Sea,70,$235.37,$41.47,Sona
19,2/19/2025,"Beef - Baby, Liver",74,$175.58,$20.45,arnold
20,2/7/2025,Cotton Wet Mop 16 Oz,89,$231.40,$24.57,arnold
21,2/4/2025,Pants Custom Dry Clean,67,$210.22,$11.42,Sona
22,2/19/2025,Sprouts Dikon,27,$152.66,$38.56,arnold
23,2/12/2025,Veal - Knuckle,57,$226.42,$40.00,bet
24,2/27/2025,Veal - Heart,90,$212.66,$48.65,arnold
25,2/5/2025,Butter Balls Salted,22,$183.67,$46.70,bet
26,2/13/2025,Island Oasis - Banana Daiquiri,45,$110.10,$2.94,arnold
27,2/13/2025,Calypso - Lemonade,6,$192.11,$29.94,arnold
28,2/12/2025,"Tomatoes - Vine Ripe, Yellow",7,$202.13,$8.79,bet
29,2/22/2025,Tomato Paste,88,$279.47,$28.69,arnold
30,2/12/2025,Mustard - Individual Pkg,27,$201.85,$10.74,bet
31,2/6/2025,Spinach - Baby,79,$204.82,$34.43,arnold
32,2/4/2025,Sambuca - Opal Nera,70,$84.74,$37.61,Sona
33,2/20/2025,Cranberry Foccacia,88,$280.01,$15.80,Sona
34,2/12/2025,Kirsch - Schloss,16,$68.49,$28.43,bet
35,2/26/2025,"Appetizer - Spring Roll, Veg",63,$74.69,$22.32,arnold
36,2/22/2025,Steamers White,73,$253.85,$37.30,bet
37,2/17/2025,Honey - Lavender,84,$93.62,$8.07,Sona
38,2/25/2025,"Turkey - Breast, Double",36,$294.39,$41.71,bet
39,2/20/2025,Truffle Paste,11,$181.45,$37.97,arnold
40,2/14/2025,Wine - Fume Blanc Fetzer,94,$108.25,$12.18,Sona
41,2/24/2025,Egg - Salad Premix,20,$147.61,$27.75,Sona
42,2/10/2025,Seaweed Green Sheets,31,$222.49,$1.09,bet
43,2/18/2025,Beans - Butter Lrg Lima,90,$210.45,$7.45,arnold
44,2/9/2025,Passion Fruit,100,$137.50,$23.98,bet
45,2/18/2025,Extract - Raspberry,81,$50.81,$19.13,arnold
46,2/21/2025,"Tomatoes - Vine Ripe, Red",73,$258.66,$10.76,arnold
47,2/8/2025,Vinegar - Sherry,60,$240.27,$33.13,Sona
48,2/4/2025,Ecolab - Balanced Fusion,14,$176.13,$44.90,bet
49,2/11/2025,Snails - Large Canned,75,$233.47,$10.78,Sona
50,2/27/2025,Zucchini - Green,24,$229.87,$4.28,bet
51,2/7/2025,"Wine - Red, Black Opal Shiraz",17,$120.79,$4.71,bet
52,2/27/2025,Cheese - Stilton,57,$256.32,$35.78,bet
53,2/21/2025,"Syrup - Monin, Amaretta",79,$151.42,$37.05,bet
54,2/19/2025,Nantucket - Kiwi Berry Cktl.,99,$167.16,$14.85,arnold
55,2/4/2025,"Bread - Roll, Calabrese",13,$263.19,$45.88,Sona
56,2/23/2025,Beef - Top Butt,73,$87.06,$5.95,Sona
57,2/12/2025,Wine - Valpolicella Masi,10,$254.09,$26.62,arnold
58,2/21/2025,"Beef - Ox Tail, Frozen",93,$203.80,$41.91,arnold
59,2/19/2025,Capers - Pickled,52,$166.14,$10.37,Sona
60,2/9/2025,Quail - Jumbo,75,$244.99,$0.80,Sona
61,2/21/2025,Water - Spring Water 500ml,42,$248.97,$36.70,arnold
62,2/6/2025,Rabbit - Saddles,3,$242.01,$28.97,bet
63,2/26/2025,Pastry - Baked Cinnamon Stick,77,$287.17,$48.47,bet
64,2/26/2025,Sauce - Cranberry,59,$194.28,$19.99,Sona
65,2/15/2025,Sauce - Soy Low Sodium - 3.87l,51,$291.22,$4.88,arnold
66,2/13/2025,Puff Pastry - Slab,87,$245.90,$6.16,Sona
67,2/9/2025,"Quail - Whole, Boneless",8,$293.79,$44.70,arnold
68,2/23/2025,"Wine - Magnotta - Red, Baco",16,$181.96,$3.23,arnold
69,2/24/2025,Vinegar - Balsamic,44,$63.80,$3.37,bet
70,2/16/2025,Raspberries - Frozen,13,$129.83,$28.95,bet
71,2/7/2025,Liners - Baking Cups,78,$258.41,$43.41,arnold
72,2/7/2025,Soup - Campbells Chili,84,$286.62,$33.70,arnold
73,2/15/2025,Horseradish - Prepared,57,$236.73,$39.70,Sona
74,2/26/2025,"Pepper - Paprika, Spanish",28,$129.78,$19.01,bet
75,2/21/2025,Goat - Leg,19,$273.52,$10.57,Sona
76,2/10/2025,"Beef - Tongue, Fresh",52,$56.13,$41.83,Sona
77,2/19/2025,Beets - Golden,39,$136.66,$25.08,Sona
78,2/11/2025,Island Oasis - Mango Daiquiri,42,$160.69,$27.45,arnold
79,2/10/2025,Gatorade - Cool Blue Raspberry,76,$83.66,$8.99,arnold
80,2/12/2025,Flour - Chickpea,40,$270.98,$13.17,bet
81,2/8/2025,Cookie Chocolate Chip With,21,$296.64,$9.55,bet
82,2/9/2025,Kellogs Cereal In A Cup,1,$141.60,$46.91,Sona
83,2/7/2025,Eggplant Italian,67,$288.41,$37.70,bet
84,2/6/2025,Yoplait - Strawbrasp Peac,97,$284.01,$1.14,Sona
85,2/15/2025,Tomatoes - Cherry,26,$131.12,$6.30,bet
86,2/13/2025,"Vermacelli - Sprinkles, Assorted",72,$68.01,$27.61,Sona
87,2/8/2025,Wine - Pinot Noir Stoneleigh,18,$70.33,$38.23,Sona
88,2/20/2025,"Mushroom - Chanterelle, Dry",42,$216.31,$20.09,Sona
89,2/12/2025,"Clams - Littleneck, Whole",54,$66.44,$35.45,Sona
90,2/17/2025,Cattail Hearts,86,$186.93,$2.92,arnold
91,2/10/2025,Gherkin - Sour,13,$116.93,$11.74,Sona
92,2/21/2025,Cabbage - Savoy,65,$279.92,$32.81,arnold
93,2/20/2025,Wine - Merlot Vina Carmen,54,$81.51,$1.63,arnold
94,2/8/2025,"Seedlings - Buckwheat, Organic",6,$222.00,$32.41,arnold
95,2/17/2025,Compound - Raspberry,6,$195.64,$31.01,Sona
96,2/15/2025,Cheese - Grie Des Champ,37,$255.01,$43.37,bet
97,2/12/2025,"Bread - Multigrain, Loaf",88,$197.40,$11.46,arnold
98,2/11/2025,Apples - Sliced / Wedge,70,$50.83,$14.41,bet
99,2/17/2025,"Wine - Red, Mouton Cadet",76,$52.99,$38.25,Sona
100,2/7/2025,Papayas,69,$285.46,$23.66,bet
101,2/26/2025,"Pepper - Chillies, Crushed",20,$168.82,$6.10,arnold
102,2/18/2025,Bag - Clear 7 Lb,84,$93.58,$24.23,Sona
103,2/5/2025,Bok Choy - Baby,91,$287.76,$5.84,bet
104,2/7/2025,Tequila Rose Cream Liquor,54,$70.69,$38.66,bet
105,2/5/2025,Swiss Chard,13,$132.44,$21.63,bet
106,2/13/2025,"Napkin - Cocktail,beige 2 - Ply",91,$207.23,$14.73,bet
107,2/19/2025,Compound - Raspberry,8,$65.93,$21.45,Sona
108,2/23/2025,Wine - Merlot Vina Carmen,24,$238.05,$43.07,bet
109,2/8/2025,White Fish - Filets,20,$272.12,$41.59,Sona
110,2/9/2025,Soup Campbells Beef With Veg,42,$268.46,$42.81,Sona
111,2/26/2025,"Salmon - Atlantic, Skin On",87,$269.71,$32.50,bet
112,2/25/2025,"Soup - Campbells, Creamy",19,$123.64,$30.17,arnold
113,2/7/2025,Veal - Bones,59,$229.83,$22.80,arnold
114,2/6/2025,Glass Clear 7 Oz Xl,88,$273.31,$11.86,arnold
115,2/8/2025,Sauce - Oyster,60,$92.51,$23.14,bet
116,2/8/2025,Hot Choc Vending,37,$59.67,$17.95,Sona
117,2/24/2025,Bread - Pumpernickel,80,$116.73,$30.41,bet
118,2/21/2025,Chips - Miss Vickies,96,$145.54,$16.59,arnold
119,2/18/2025,Chocolate Bar - Smarties,84,$284.74,$8.05,arnold
120,2/26/2025,"Bread - White, Sliced",32,$60.16,$18.47,arnold
121,2/25/2025,Cheese - Goat With Herbs,81,$187.79,$40.51,Sona
122,2/19/2025,Bread - Italian Sesame Poly,82,$175.84,$21.83,Sona
123,2/4/2025,Cream Of Tartar,35,$81.44,$25.12,Sona
124,2/19/2025,The Pop Shoppe - Black Cherry,13,$140.29,$4.27,Sona
125,2/22/2025,Pate Pans Yellow,67,$198.39,$17.38,arnold
126,2/5/2025,Wine - Magnotta - Cab Franc,84,$86.11,$16.30,Sona
127,2/25/2025,Sauce - Soy Low Sodium - 3.87l,99,$154.13,$41.20,bet
128,2/26/2025,"Stock - Chicken, White",89,$168.99,$45.62,Sona
129,2/9/2025,Cheese - Taleggio D.o.p.,59,$90.97,$7.94,Sona
130,2/26/2025,Bread - Calabrese Baguette,65,$198.26,$42.62,bet
131,2/20/2025,Pork - Liver,29,$244.10,$21.86,bet
132,2/13/2025,Magnotta - Bel Paese White,66,$116.70,$32.85,Sona
133,2/9/2025,"Trout - Rainbow, Fresh",33,$54.24,$32.88,bet
134,2/7/2025,Containter - 3oz Microwave Rect.,81,$292.90,$47.45,bet
135,2/20/2025,Sole - Iqf,69,$196.24,$22.72,bet
136,2/4/2025,Numi - Assorted Teas,16,$109.38,$31.51,Sona
137,2/4/2025,Wine - Fume Blanc Fetzer,51,$250.25,$17.01,Sona
138,2/11/2025,Beer - Creemore,15,$66.11,$28.46,Sona
139,2/7/2025,Eggwhite Frozen,62,$227.03,$14.32,Sona
140,2/13/2025,"Lemonade - Kiwi, 591 Ml",37,$240.72,$20.57,bet
141,2/5/2025,Eggplant - Baby,34,$60.55,$10.96,bet
142,2/4/2025,Ice Cream Bar - Oreo Sandwich,93,$159.97,$9.78,arnold
143,2/15/2025,Parsley - Dried,73,$255.13,$24.79,Sona
144,2/8/2025,Beer - Tetleys,89,$60.49,$46.17,arnold
145,2/5/2025,"Nut - Chestnuts, Whole",83,$127.68,$4.37,bet
146,2/8/2025,Bread - Raisin,95,$286.68,$20.66,Sona
147,2/24/2025,Sugar - Icing,37,$122.11,$44.49,arnold
148,2/8/2025,Cookie - Oreo 100x2,49,$170.14,$14.30,arnold
149,2/26/2025,Beer - Molson Excel,57,$64.18,$48.16,arnold
150,2/6/2025,"Pepper - Julienne, Frozen",24,$51.51,$10.58,bet
151,2/4/2025,Bar - Granola Trail Mix Fruit Nut,61,$142.09,$13.82,Sona
152,2/14/2025,Apples - Sliced / Wedge,14,$70.28,$1.15,bet
153,2/13/2025,Sauce - Mint,45,$95.22,$43.07,Sona
154,2/27/2025,Island Oasis - Peach Daiquiri,54,$85.26,$38.98,arnold
155,2/23/2025,Coffee - 10oz Cup 92961,88,$194.34,$35.28,arnold
156,2/6/2025,Onion - Dried,84,$177.79,$46.93,bet
157,2/11/2025,Tobasco Sauce,98,$166.68,$34.54,bet
158,2/15/2025,Gatorade - Fruit Punch,29,$106.82,$35.22,arnold
159,2/24/2025,Oregano - Fresh,29,$168.61,$8.39,Sona
160,2/8/2025,Chicken - Bones,26,$88.53,$30.93,arnold
