transaction_id,date,product_name,quantity,amount,discount,cashier
1,2/19/2025,Remy Red,61,$134.72,$23.11,Sona
2,2/20/2025,Swordfish Loin Portions,28,$172.55,$12.25,Sona
3,2/4/2025,Wine - Vineland Estate Semi - Dry,86,$99.47,$43.37,bet
4,2/17/2025,"Lamb - Whole, Frozen",100,$238.21,$5.60,arnold
5,2/10/2025,"Pork - Bacon, Double Smoked",39,$290.65,$40.68,arnold
6,2/23/2025,"Soup - Knorr, Ministrone",11,$98.52,$19.61,arnold
7,2/5/2025,Fib N9 - Prague Powder,20,$69.65,$32.98,Sona
8,2/7/2025,Cheese - Feta,57,$209.59,$28.57,Sona
9,2/4/2025,Longos - Penne With Pesto,36,$140.34,$43.52,arnold
10,2/21/2025,Soup V8 Roasted Red Pepper,79,$50.43,$41.77,arnold
11,2/23/2025,Beer - Heinekin,100,$107.16,$36.31,arnold
12,2/21/2025,Spinach - Spinach Leaf,86,$132.30,$19.03,arnold
13,2/21/2025,Rappini - Andy Boy,62,$203.54,$26.36,arnold
14,2/24/2025,"Apple - Delicious, Golden",25,$139.32,$38.23,bet
15,2/24/2025,Juice - Apple Cider,54,$292.81,$17.71,arnold
16,2/22/2025,Pastry - Butterscotch Baked,19,$155.51,$12.92,arnold
17,2/13/2025,Venison - Racks Frenched,41,$117.28,$0.21,Sona
18,2/12/2025,Beer - Camerons Auburn,37,$171.52,$45.73,bet
19,2/7/2025,Muffin Carrot - Individual,65,$137.11,$11.27,bet
20,2/5/2025,Sauce - Demi Glace,77,$66.62,$21.92,Sona
21,2/19/2025,Onion - Dried,67,$133.74,$46.27,Sona
22,2/7/2025,Tea - Apple Green Tea,82,$206.90,$15.09,arnold
23,2/24/2025,Olives - Kalamata,7,$295.57,$11.57,arnold
24,2/19/2025,Table Cloth 62x120 White,96,$279.07,$26.38,bet
25,2/19/2025,Broom - Angled,97,$170.99,$8.46,bet
26,2/19/2025,Saskatoon Berries - Frozen,89,$227.05,$25.47,bet
27,2/23/2025,Beer - Upper Canada Light,66,$109.04,$31.29,bet
28,2/21/2025,Rhubarb,15,$234.43,$32.02,arnold
29,2/7/2025,Red Currant Jelly,54,$126.54,$24.78,bet
30,2/18/2025,Cabbage - Savoy,47,$134.66,$27.95,bet
31,2/26/2025,Coconut - Whole,96,$262.96,$27.02,Sona
32,2/15/2025,Bols Melon Liqueur,70,$284.44,$14.74,bet
33,2/15/2025,"Wine - Red, Metus Rose",33,$297.40,$0.95,Sona
34,2/9/2025,Ice Cream Bar - Drumstick,97,$55.17,$3.71,arnold
35,2/23/2025,"Wine - White, Riesling, Henry Of",15,$227.90,$28.25,arnold
36,2/20/2025,Anchovy Fillets,76,$273.71,$45.96,arnold
37,2/20/2025,Snapple Raspberry Tea,9,$151.80,$13.98,arnold
38,2/12/2025,Drambuie,85,$183.66,$33.38,arnold
39,2/10/2025,Turnip - Wax,99,$223.69,$12.22,arnold
40,2/14/2025,Bread - Granary Small Pull,31,$243.52,$14.24,arnold
41,2/13/2025,Coffee Guatemala Dark,38,$197.02,$49.00,Sona
42,2/6/2025,Pastry - Chocolate Marble Tea,32,$90.15,$1.71,bet
43,2/17/2025,Papadam,62,$151.35,$6.57,arnold
44,2/17/2025,Cheese - Provolone,56,$151.68,$0.88,bet
45,2/20/2025,Steam Pan Full Lid,18,$117.29,$6.27,Sona
46,2/16/2025,Grapes - Green,40,$197.89,$14.05,bet
47,2/4/2025,"Bread - Rolls, Rye",51,$61.23,$31.15,bet
48,2/15/2025,Gatorade - Xfactor Berry,55,$237.90,$34.18,Sona
49,2/13/2025,Water - Aquafina Vitamin,54,$147.56,$22.27,arnold
50,2/7/2025,Coffee Caramel Biscotti,94,$243.85,$36.27,arnold
51,2/6/2025,"Cherries - Maraschino,jar",75,$278.32,$13.02,Sona
52,2/14/2025,Coffee Cup 16oz Foam,21,$105.13,$13.80,bet
53,2/20/2025,Creme De Cacao Mcguines,37,$89.59,$45.16,bet
54,2/19/2025,Cake - Miini Cheesecake Cherry,47,$90.47,$43.70,Sona
55,2/25/2025,Table Cloth 90x90 White,42,$163.72,$14.48,Sona
56,2/27/2025,"Vodka - Hot, Lnferno",93,$139.53,$29.37,Sona
57,2/26/2025,Chicken - Whole Fryers,14,$71.13,$46.34,Sona
58,2/6/2025,Sauce - Hollandaise,70,$197.86,$28.59,Sona
59,2/17/2025,Cake - French Pear Tart,4,$74.24,$41.38,arnold
60,2/8/2025,"Chicken - Diced, Cooked",91,$101.50,$2.14,bet
61,2/7/2025,Chambord Royal,85,$274.09,$25.93,arnold
62,2/21/2025,Island Oasis - Ice Cream Mix,43,$230.12,$17.55,Sona
63,2/23/2025,Basil - Thai,28,$135.76,$8.63,bet
64,2/18/2025,Swiss Chard - Red,9,$160.40,$13.20,Sona
65,2/11/2025,Pie Shells 10,91,$253.31,$7.41,bet
66,2/11/2025,"Mushroom - Morels, Dry",91,$148.55,$26.21,bet
67,2/13/2025,Bread - Bistro Sour,41,$280.28,$31.29,arnold
68,2/23/2025,Browning Caramel Glace,74,$66.83,$24.18,arnold
69,2/11/2025,Butter Sweet,52,$123.46,$34.28,Sona
70,2/8/2025,Mangostein,52,$211.73,$10.03,bet
71,2/16/2025,Beans - Kidney White,68,$220.12,$24.10,Sona
72,2/27/2025,Lamb Rack - Ontario,8,$247.94,$3.16,arnold
73,2/8/2025,Chinese Foods - Chicken Wing,30,$186.47,$28.56,arnold
74,2/23/2025,Puree - Raspberry,52,$109.11,$5.74,arnold
75,2/4/2025,Broom - Push,7,$123.95,$16.51,arnold
76,2/9/2025,Oregano - Fresh,33,$127.86,$10.27,arnold
77,2/14/2025,Beer - Labatt Blue,51,$185.23,$2.79,bet
78,2/7/2025,"Coke - Diet, 355 Ml",69,$244.03,$41.36,Sona
79,2/20/2025,"Bar Mix - Pina Colada, 355 Ml",44,$178.19,$42.78,bet
80,2/25/2025,Syrup - Monin - Blue Curacao,11,$292.29,$21.92,Sona
81,2/27/2025,Puree - Mocha,58,$189.87,$14.46,arnold
82,2/7/2025,Steam Pan Full Lid,25,$237.57,$17.21,Sona
83,2/8/2025,Bread - Olive,20,$119.84,$13.72,bet
84,2/17/2025,Garbage Bag - Clear,55,$144.49,$43.27,Sona
85,2/10/2025,Rappini - Andy Boy,12,$177.87,$20.65,bet
